"Gene","Coefficient"
"RAC1",0.0477714594953878
"CYFIP1",0.0845378169964754
"WASF2",0.228860923807596
"BRK1",0.111178465923049
"ABI1",-0.690017908034411
"ACTR2",0.0608166918319247
"ARPC2",0.030483537785947
"FLNA",0.159431512080148
"FLNB",-0.280178147690666
"ACTN4",0.3770931565415
"IQGAP1",0.186772792281645
"MYH10",0.0234811083291907
"OSTC",0.404433914021094
"ACSL4",0.345430775834607
"DDO",0.274010134974565
"PDLIM1",0.0206130110104642
"DSTN",-0.232575375529517
"VCL",-0.25377594193562
"CD44",0.0305987238207958
"YTHDC1",-0.376141806552824
